txn_id,timestamp,sender_id,receiver_id,amount,merchant,city,status
TXN715942,2026-06-10 18:30:06,USR6070,USR9659,9727.83,Zomato,Delhi,SUCCESS
TXN720755,2026-06-10 18:30:06,USR8732,USR9494,13312.69,Flipkart,Chennai,FAILED
TXN338690,2026-06-10 18:30:06,USR3888,USR6048,36524.94,IRCTC,Hyderabad,FAILED
TXN792033,2026-06-10 18:30:06,USR2188,USR5319,32240.09,Swiggy,Chennai,FAILED
TXN941234,2026-06-10 18:30:06,USR1101,USR5058,39230.36,IRCTC,Mumbai,FAILED
TXN263155,2026-06-10 18:30:06,USR8986,USR2988,32515.43,Zomato,Pune,SUCCESS
TXN929973,2026-06-10 18:30:06,USR7436,USR7554,45606.04,BigBasket,Delhi,SUCCESS
TXN996118,2026-06-10 18:30:06,USR4031,USR3498,33552.41,Zomato,Bangalore,FAILED
TXN579900,2026-06-10 18:30:06,USR5100,USR6317,9681.05,Myntra,Mumbai,FAILED
TXN356805,2026-06-10 18:30:06,USR1020,USR7162,43212.35,IRCTC,Delhi,PENDING
TXN952489,2026-06-10 18:30:06,USR4103,USR2102,38490.49,Flipkart,Delhi,FAILED
TXN836647,2026-06-10 18:30:06,USR3315,USR8331,44216.86,Zomato,Delhi,SUCCESS
TXN850245,2026-06-10 18:30:06,USR1282,USR8566,48181.16,BigBasket,Pune,FAILED
TXN882136,2026-06-10 18:30:06,USR7230,USR6003,39631.07,Zomato,Hyderabad,PENDING
TXN429456,2026-06-10 18:30:06,USR3172,USR6407,6837.89,IRCTC,Mumbai,PENDING
TXN363500,2026-06-10 18:30:06,USR7591,USR7699,40186.22,Amazon,Delhi,SUCCESS
TXN273658,2026-06-10 18:30:06,USR6804,USR8179,16097.74,IRCTC,Hyderabad,FAILED
TXN515937,2026-06-10 18:30:06,USR5004,USR6852,22068.62,BigBasket,Pune,SUCCESS
TXN795072,2026-06-10 18:30:06,USR2211,USR5057,15920.51,Swiggy,Delhi,PENDING
TXN457893,2026-06-10 18:30:06,USR5280,USR5308,18740.39,IRCTC,Bangalore,SUCCESS
TXN398147,2026-06-10 18:30:06,USR3700,USR1866,23896.48,Amazon,Mumbai,PENDING
TXN344943,2026-06-10 18:30:06,USR1476,USR2403,47343.25,BigBasket,Chennai,PENDING
